$padding$	0
$start_of_sequence$	0
$oov$	0
the	12737
to	10183
?	7817
.	6885
a	6664
and	6030
of	5273
not	5234
are	5213
is	5103
for	4396
,	4235
be	4066
in	3928
should	2873
n't	2798
have	2455
it	2387
that	2274
their	2135
do	2082
people	2060
Should	2023
they	1915
can	1826
's	1761
on	1646
more	1646
or	1600
with	1513
Is	1414
-	1412
need	1334
will	1243
students	1173
children	1156
Do	1139
at	1132
as	1113
them	1012
many	924
good	892
other	874
would	871
We	864
The	847
we	835
from	822
has	811
an	796
than	782
all	765
there	748
get	735
by	699
Are	690
does	679
no	655
money	645
programs	636
this	634
way	631
out	629
schools	627
being	595
make	593
too	589
Need	589
government	561
public	544
parents	542
everyone	542
school	533
how	533
what	524
who	506
those	506
some	502
libraries	499
work	496
better	494
most	480
only	479
if	479
college	479
allowed	479
Be	476
bad	472
ca	471
high	468
when	462
been	455
best	453
use	451
What	447
these	444
without	443
teachers	436
much	430
It	430
Can	429
so	427
about	424
want	423
like	422
help	422
one	419
sports	418
'	418
Colleges	417
U.S.	416
education	415
time	412
Israel	406
still	403
our	399
but	397
US	384
Does	381
humanities	379
could	378
just	376
important	370
learn	368
Some	368
I	362
Home	361
right	359
information	359
free	358
kids	357
New	355
food	354
country	354
home	349
provide	348
Libraries	348
With	346
you	344
companies	344
job	343
were	340
American	339
Have	333
even	323
costs	318
well	314
economy	314
Comment	313
cost	312
less	309
needs	303
take	302
salt	300
into	297
enough	297
teach	292
always	292
colleges	290
things	289
pay	288
Good	288
College	286
banks	285
School	285
Students	277
""""	275
internet	270
society	268
world	267
child	265
York	265
own	263
longer	263
access	261
Veganism	261
years	258
against	257
Syria	256
experience	255
simply	251
sections	251
same	251
was	250
life	248
In	248
go	247
schoolers	246
Online	242
already	238
People	238
evolve	237
because	237
available	237
able	237
Vaccination	237
Still	236
States	236
may	235
illegal	235
know	234
working	232
over	231
Salt	231
diet	229
control	229
place	228
new	228
up	227
state	225
drugs	225
lose	224
us	223
its	223
wo	222
off	222
doing	222
which	220
often	219
media	218
religious	216
economic	216
care	214
social	213
Americans	210
Parents	208
lead	207
cut	207
support	204
restaurants	204
A	204
protect	203
Has	203
benefits	201
abuse	200
tax	199
her	199
All	199
Unpaid	198
create	197
very	196
made	195
having	194
say	192
legal	192
community	192
person	191
health	191
find	191
done	191
universities	189
lanes	189
Obamacare	189
cities	187
Too	187
win	186
players	186
did	186
French	186
 	186
stand	184
recent	184
mandatory	183
private	182
far	182
America	182
technology	181
laws	181
More	181
If	181
undergraduate	180
change	179
any	178
themselves	177
citizens	177
marijuana	176
makes	174
Government	173
For	173
There	172
taxes	171
online	171
knowledge	171
Public	171
Or	170
now	168
Mandatory	168
Assad	168
first	167
low	165
ISIS	165
play	164
debt	164
United	164
Making	163
Departments	162
NATO	161
real	160
city	160
Children	160
stability	159
dangerous	159
Women	159
Maybe	159
safe	158
citizenship	158
also	158
your	157
women	157
Companies	157
vegans	156
prostitution	156
jobs	156
common	156
bike	156
Tenure	156
Teachers	156
see	155
become	155
workers	154
research	154
families	154
Everyone	154
turn	153
smart	153
healthy	153
High	153
failed	151
printing	150
Not	150
such	149
learning	149
Olympics	149
allow	148
living	147
labor	147
cars	147
built	147
system	146
rights	145
raised	145
away	145
really	144
internships	144
group	144
greater	144
Would	144
Tip	144
Mayor	144
live	143
line	143
customers	142
afford	142
comments	141
Will	141
widespread	140
safer	140
eat	140
Supreme	140
quickly	139
paid	139
hard	139
books	139
benefit	139
states	138
To	138
show	137
give	137
field	137
ever	137
risk	136
obscenity	136
disabled	136
Working	136
They	136
Sections	136
From	136
Failed	136
threat	135
papers	135
justice	135
court	135
Dual	135
Court	135
Casinos	135
used	134
through	134
problems	134
little	134
thinking	133
student	132
needed	132
human	132
getting	132
countries	132
TV	132
making	131
interns	131
gains	131
classroom	131
reason	130
my	130
might	130
weapons	129
rates	128
officers	128
law	128
down	128
provides	127
part	127
middle	127
teams	126
personal	126
lot	126
few	126
casinos	126
rate	125
poor	125
necessary	125
lack	125
FEMA	125
stop	124
his	124
exemptions	124
cause	124
philosophical	123
higher	123
classes	123
useful	120
regulated	120
keep	120
courses	120
consider	120
break	120
Schoolers	120
Protect	120
Internships	120
Colorado	120
program	119
organic	119
never	119
lives	119
Internet	119
today	118
tip	118
future	118
fight	118
accountable	118
unpaid	117
status	117
rail	117
exercise	117
Doping	117
while	116
large	116
follow	116
think	115
Christians	115
pros	114
power	114
immunized	114
each	114
cons	114
class	114
chefs	114
cat	114
candidate	114
attacks	114
Banks	114
avoid	113
Police	113
California	113
ways	112
instead	112
table	111
shakers	111
issues	111
diners	111
When	111
Learn	111
worth	110
shows	110
prevent	110
curriculum	110
police	109
choice	109
pot	108
obese	108
internship	108
effect	108
sense	107
lost	107
deserve	107
capital	107
self	106
require	106
national	106
employees	106
elsewhere	106
day	106
sensible	105
security	105
preschool	105
market	105
individual	105
crime	105
offer	104
tough	103
opinions	103
immigrants	103
going	103
gambling	103
annoying	103
Young	103
medical	102
language	102
family	102
anyone	102
Table	102
Place	102
Middle	102
ID	102
Farms	102
Euro	102
Cuba	102
something	100
services	100
quality	100
places	100
peace	100
others	100
long	100
young	99
outweigh	99
mean	99
exploit	99
chef	99
TFA	99
Bad	99
3-D	99
violence	98
value	98
sex	98
interest	98
influence	98
force	98
expense	98
worse	97
reality	97
problem	97
small	96
properly	96
library	96
culture	96
campus	96
Research	96
Much	96
:	96
willing	95
politics	95
big	95
before	95
Hurt	95
'd	95
harm	94
age	94
strict	93
librarians	93
Illegal	93
Extreme	93
Bike	93
valuable	92
motherhood	92
hold	92
usually	91
harmful	91
dropping	91
different	91
intercollegiate	90
footsteps	90
Spelman	90
Exploit	90
Europe	90
Electric	90
Dropping	90
C.I.A.	90
Big	90
Ball	90
tipping	89
record	89
investment	89
hurts	89
competition	89
choose	89
Russia	89
times	88
easily	88
drug	88
Many	88
gain	87
anyway	87
Supporting	87
Prostitution	87
East	87
But	87
under	86
required	86
removed	86
Without	86
vegan	85
stay	85
resources	85
taught	84
streets	84
nuclear	84
homework	84
Were	84
Voting	84
Legislation	84
vaccine	83
proper	83
handle	83
gays	83
come	83
bring	83
Greece	83
using	82
starting	82
skills	82
short	82
great	82
changes	82
both	82
savings	81
safety	81
response	81
legalized	81
faculty	81
comment	81
between	81
Schools	81
success	80
she	80
serve	80
means	80
business	80
Fees	80
vegetables	79
nothing	79
grade	79
cultures	79
whole	78
parenting	78
minorities	78
matter	78
insurance	78
improve	78
humanity	78
goal	78
football	78
focus	78
cameras	78
Worth	78
Organic	78
Control	78
then	77
start	77
look	77
every	77
beliefs	77
attack	77
Classes	77
tenure	76
protections	76
once	76
move	76
drive	76
credibility	76
build	76
athletes	76
academic	76
wear	75
rather	75
professional	75
legalize	75
impact	75
entrenched	75
end	75
chemical	75
businesses	75
around	75
Teams	75
Support	75
Play	75
Credibility	75
turning	74
me	74
happy	74
died	74
atmosphere	74
appropriate	74
activities	74
wage	73
process	73
industry	73
fees	73
approach	73
verdict	72
understand	72
taking	72
remaking	72
profession	72
political	72
network	72
natural	72
immigration	72
encouraged	72
bicycle	72
allegiance	72
Wal	72
Lanes	72
Koch	72
Hamas	72
Fatah	72
Drone	72
Bloomberg	72
since	71
love	71
fair	71
current	71
another	71
Germany	71
Candidate	71
teacher	70
successful	70
lower	70
interests	70
increasingly	70
idea	70
grow	70
given	70
funding	70
critical	70
after	70
war	69
relevant	69
modern	69
minor	69
maybe	69
healthier	69
global	69
gamble	69
financial	69
exist	69
demanding	69
counterproductive	69
behind	69
Than	69
Reality	69
Mart	69
Kids	69
violations	68
lift	68
leads	68
choices	68
allows	68
accept	68
Medical	68
succeed	67
study	67
role	67
results	67
issue	67
election	67
body	67
affect	67
taxing	66
regular	66
left	66
graduation	66
dual	66
chances	66
beyond	66
based	66
air	66
Tax	66
Rim	66
Grade	66
wrong	65
rich	65
remain	65
refuse	65
predictions	65
point	65
fun	65
efforts	65
revenue	64
likely	64
events	64
equal	64
advantage	64
add	64
Allowed	64
three	63
sanctions	63
rules	63
responsible	63
reach	63
prices	63
order	63
opportunity	63
earn	63
depend	63
charge	63
almost	63
agency	63
Privatization	63
Miss	63
Justice	63
Far	63
Elizabeth	63
CIA	63
wants	62
true	62
read	62
environment	62
eliminate	62
company	62
apps	62
wonder	61
try	61
taken	61
survive	61
sometimes	61
reasons	61
put	61
paying	61
found	61
correct	61
communities	61
budget	61
adult	61
Work	61
Sometimes	61
vitamins	60
traffic	60
technologies	60
taller	60
save	60
rest	60
regime	60
protects	60
